"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE11100120100001234041";"02.08.24";"02.08.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Coinbase Sparauftrag";"DE45600500000432123045";"00000000";"-1337,00";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.08.24";"02.08.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Miete Wohnung Bamberg";"DE45600500000432123045";"00000000";"-967,00";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.08.24";"02.08.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Gehalt Juli";"DE45600500000432123045";"00000000";"2967,00";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.07.24";"02.07.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Miete Wohnung Bamberg";"DE45600500000432123045";"00000000";"-967,00";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.07.24";"02.07.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Gehalt Juli";"DE45600500000432123045";"00000000";"2967,00";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.07.24";"02.07.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Tanken";"DE45600500000432123045";"00000000";"-59,31";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.07.24";"02.07.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"KFZ-Steuer Kennzeichen B-ER 1234";"DE45600500000432123045";"00000000";"-240";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.07.24";"02.07.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Bäckerei Schmitt";"DE45600500000432123045";"00000000";"-22,10";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.07.24";"02.07.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Bausparer Haus";"DE45600500000432123045";"00000000";"-250,00";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.07.24";"02.07.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Coinbase Sparauftrag";"DE45600500000432123045";"00000000";"-1337,00";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.07.24";"02.07.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Amazon Bestellung 12345";"DE45600500000432123045";"00000000";"-103,40";"EUR";"Umsatz gebucht"
"DE11100120100001234041";"02.07.24";"02.07.24";"KARTENZAHLUNG";"FOLGELASTSCHRIFT";"";"";"ABC12345ZXY";"";"";"";"Amazon Bestellung 12346";"DE45600500000432123045";"00000000";"-13,40";"EUR";"Umsatz gebucht"
